crew_id	role	movie_id
nm1132465	miscellaneous,make_up_department,stunts	tt9243946
nm1132465	miscellaneous,make_up_department,stunts	tt7587890
nm1132465	miscellaneous,make_up_department,stunts	tt6040674
nm1133052	writer,miscellaneous,visual_effects	tt0780521
nm1133052	writer,miscellaneous,visual_effects	tt1735898
nm1133052	writer,miscellaneous,visual_effects	tt5580664
nm1133052	writer,miscellaneous,visual_effects	tt0462538
nm1134050	animation_department,director,art_department	tt0337761
nm1134050	animation_department,director,art_department	tt1691917
nm1134050	animation_department,director,art_department	tt12801262
nm1134050	animation_department,director,art_department	tt0462538
nm1135470	visual_effects	tt0310324
nm1135470	visual_effects	tt0327084
nm1135470	visual_effects	tt0389790
nm1136534	soundtrack,composer,director	tt4116284
nm1136534	soundtrack,composer,director	tt0974661
nm1136534	soundtrack,composer,director	tt0244244
nm1136534	soundtrack,composer,director	tt0245574
nm1143299	art_department,stunts,actor	tt1345836
nm1143299	art_department,stunts,actor	tt9243946
nm1143299	art_department,stunts,actor	tt1321870
nm1143299	art_department,stunts,actor	tt7784604
nm1144602	transportation_department,miscellaneous	tt0800240
nm1144602	transportation_department,miscellaneous	tt1333125
nm1144602	transportation_department,miscellaneous	tt0268978
nm1144602	transportation_department,miscellaneous	tt0313737
nm1145428	animation_department,art_department,assistant_director	tt0462538
nm1145428	animation_department,art_department,assistant_director	tt0219446
nm1145428	animation_department,art_department,assistant_director	tt1139628
nm1145428	animation_department,art_department,assistant_director	tt0149460
nm11482789	cinematographer,camera_department,assistant_director	tt0306047
nm11482789	cinematographer,camera_department,assistant_director	tt0106485
nm11482789	cinematographer,camera_department,assistant_director	tt4919822
nm11482789	cinematographer,camera_department,assistant_director	tt0069638
nm1148765	camera_department,assistant_director	tt0362120
nm1148765	camera_department,assistant_director	tt0487156
nm1148765	camera_department,assistant_director	tt1095426
nm1148765	camera_department,assistant_director	tt0961208
nm1149293	visual_effects,animation_department,art_department	tt4154664
nm1149293	visual_effects,animation_department,art_department	tt1490017
nm1149293	visual_effects,animation_department,art_department	tt3410834
nm1149293	visual_effects,animation_department,art_department	tt4116284
nm1149978	miscellaneous,camera_department,editorial_department	tt0343660
nm1149978	miscellaneous,camera_department,editorial_department	tt0305224
nm1149978	miscellaneous,camera_department,editorial_department	tt0300532
nm1149978	miscellaneous,camera_department,editorial_department	tt0306047
nm1150236	visual_effects,animation_department	tt0414853
nm1150236	visual_effects,animation_department	tt1228705
nm1150236	visual_effects,animation_department	tt3014284
nm1150236	visual_effects,animation_department	tt4116284
nm1151877	miscellaneous,script_department,casting_department	tt0306047
nm1151877	miscellaneous,script_department,casting_department	tt0343818
nm1151877	miscellaneous,script_department,casting_department	tt0204993
nm1151877	miscellaneous,script_department,casting_department	tt0350261
nm1153547	transportation_department,actor,miscellaneous	tt0765010
nm1153547	transportation_department,actor,miscellaneous	tt9243946
nm1153547	transportation_department,actor,miscellaneous	tt2975590
nm1153547	transportation_department,actor,miscellaneous	tt1038686
nm1154632	composer,music_department,soundtrack	tt4116284
nm1154632	composer,music_department,soundtrack	tt1001526
nm1154632	composer,music_department,soundtrack	tt1515091
nm1154632	composer,music_department,soundtrack	tt0468569
nm1156984	writer,producer,actor	tt1490017
nm1156984	writer,producer,actor	tt1734135
nm1156984	writer,producer,actor	tt3387520
nm1156984	writer,producer,actor	tt3014284
nm1158962	producer,director,writer	tt1856047
nm1158962	producer,director,writer	tt1333125
nm1158962	producer,director,writer	tt1942911
nm1158962	producer,director,writer	tt13078824
nm1162421	actress	tt0460649
nm1162421	actress	tt1333125
nm1162421	actress	tt1512235
nm1162421	actress	tt0824747
nm1162818	producer,miscellaneous,executive	tt1323045
nm1162818	producer,miscellaneous,executive	tt0309912
nm1162818	producer,miscellaneous,executive	tt0377107
nm1162818	producer,miscellaneous,executive	tt1333125
nm1164693	soundtrack,actor,composer	tt0356150
nm1164693	soundtrack,actor,composer	tt0817538
