id	name	birthDate	deathDate	role	movies
nm2267351	Daniel Lichtblau	1981	\N	producer,camera_department,miscellaneous	tt0462538,tt6866866,tt6113440,tt1900946
nm2276742	Curt Storms	\N	\N	special_effects	tt1318514,tt0362120,tt0862856,tt1287468
nm2278786	Matt Ebb	\N	\N	visual_effects,art_department	tt4154664,tt1051906,tt1490017,tt3410834
nm2278813	Amanda Cramer	\N	\N	miscellaneous,visual_effects,animation_department	tt0389790,tt0481499,tt0441773,tt2267968
nm2280046	Christian So	\N	\N	animation_department,visual_effects	tt3014284,tt1490017,tt4116284,tt2245084
nm2282321	John Bradaric	\N	\N	camera_department,miscellaneous,cinematographer	tt1333125,tt2351881,tt0287795,tt0790509
nm2289831	Russell Dumornay	\N	\N	visual_effects	tt0389790,tt0892782
nm2289943	Tony Davidson	\N	\N	visual_effects	tt0479952,tt0892769,tt0389790,tt0429589
nm2292168	Susan Silvestri	\N	\N	actress,miscellaneous,writer	tt13695622,tt3893272,tt1569512,tt0389790
nm2294148	Justin Quagliata	\N	\N	editor,editorial_department,visual_effects	tt0813141,tt0338294,tt1333125,tt0485675
nm2296017	Nathaniel T. Cartier	\N	\N	music_department,editor,sound_department	tt0822856,tt0362120,tt0424345,tt1521709
nm2296699	Andrej Marko	\N	\N	camera_department,miscellaneous,cinematographer	tt0785032,tt0476396,tt0818107,tt0362120
nm2297696	Dylan Crawshay-Williams	\N	\N	camera_department	tt1333125,tt1764183,tt1185836,tt0857191
nm2298860	Alex Que	\N	\N	animation_department,art_department,assistant_director	tt0147752,tt0213090,tt0369171,tt0462538
nm2302136	Max Dionne	1983	\N	producer,director,editor	tt1186370,tt5096802,tt2610260,tt0389790
nm2302176	Brian Kornreich	\N	\N	miscellaneous,producer,executive	tt2639336,tt1323045,tt0211933,tt1333125
nm2302245	Alexandra Dell	\N	\N	miscellaneous,actress	tt0482577,tt1323045,tt0211933,tt1333125
nm2302699	Amanda Essick Burrell	\N	\N	miscellaneous,producer,executive	tt1323045,tt1582507,tt1333125,tt0211933
nm2311122	Ana Gómez Alcalde	\N	\N	miscellaneous,visual_effects	tt0419704,tt1490017,tt3040964,tt0836682
nm2315018	Eve Wong Colvin	\N	\N	visual_effects,miscellaneous	tt0389790,tt0441773,tt0386040,tt0424095
nm2315124	Jim Federico	\N	\N	soundtrack,music_department	tt0306047,tt0362120,tt0805559
nm2317122	Juan 'Jo' Luna	\N	\N	art_department,animation_department,production_designer	tt0118617,tt0462538,tt0414853,tt0120913
nm2318572	Danny Taverna	\N	2015	art_department,animation_department	tt0120913,tt0414853,tt0118617,tt0462538
nm2323050	Dan Malone	\N	\N	miscellaneous	tt0892769,tt0892782,tt0389790,tt0441773
nm2323243	Nerys Lincoln	\N	\N	visual_effects,animation_department	tt1490017,tt0443649,tt0416449,tt1809398
nm2324319	Michael Isaak	\N	\N	art_department,animation_department,art_director	tt0389790,tt0118617,tt0892782,tt0138749
