ID	NAME	BIRTH	DEATH	PROFESSION	MOVIES
nm9144286	Shinobu Suzuki	\N	\N	miscellaneous	tt5323662
nm9144287	Naoto Yoshida	\N	\N	miscellaneous	tt5323662
nm9144288	Pi Qing Jiang	\N	\N	miscellaneous	tt5323662
nm9144289	Masato Abe	\N	\N	miscellaneous	tt5323662,tt5688888
nm9144290	Daisuke Ochi	\N	\N	miscellaneous	tt5323662
nm9146273	Atsushi Okubo	\N	\N	editorial_department	tt5323662
nm9146303	Masakazu Koyama	\N	\N	animation_department	tt3717532,tt9426210,tt5323662,tt5311514
nm9167469	Kiran Jay Babla	\N	\N	animation_department	tt4877122,tt4624424,tt3416828,tt4633694
nm9182071	Yoriko Goto	\N	\N	animation_department	tt3717532,tt5692622,tt4954660,tt2290828
nm9200897	Ryan Morris	\N	\N	art_department	tt0289408
nm9200898	Richard Rose	\N	\N	art_department	tt0289408
nm9204084	Godtfred Kirk Christiansen	1920	1995	writer	tt1490017,tt1149317,tt4116284,tt9673190
nm9204085	Jens Nygaard Knudsen	1942	2020	writer	tt4116284,tt9673190,tt1490017,tt1149317
nm9207002	Saki Arakawa	\N	\N	animation_department	tt3717532,tt4872210,tt4219166
nm9210241	Axident	\N	\N	soundtrack,composer	tt4877122
nm9219507	Katherine Connor Duff	\N	\N	actress,writer,producer	tt4943998,tt8893398,tt8846402,tt9205096
nm9231892	Maya Kambe	\N	\N	miscellaneous	tt2091256
nm9233045	Tran Thuan	\N	\N	animation_department	tt4618398,tt13997358,tt7451284,tt13718450
